Episode,Tittel,Dato
S01E01,Lyra's Jordan,"November 3, 2019"
S01E02,The Idea of North,"November 10, 2019"
S01E03,The Spies,"November 17, 2019"
S01E04,Armour,"November 24, 2019"
S01E05,The Lost Boy,"December 1, 2019"
S01E06,The Dæmon-Cages,"December 8, 2019"
S01E07,The Fight to the Death,"December 15, 2019"
S01E08,Betrayal,"December 22, 2019"
S02E01,The City of Magpies,"November 8, 2020"
S02E02,The Cave,"November 15, 2020"
S02E03,Theft,"November 22, 2020"
S02E04,Tower of the Angels,"November 29, 2020"
S02E05,The Scholar,"December 6, 2020"
S02E06,Malice,"December 13, 2020"
S02E07,Æsahættr,"December 20, 2020"
